question,reponse
Pourquoi les idées de la Société des Irlandais unis étaient devenues radicales ?,"demandant notamment l'établissement d'une république irlandaise réunissant catholiques, protestants et non-conformistes | établissement d'une république irlandaise réunissant catholiques, protestants et non-conformistes"
"Lors de la création de l'Ordre, comment la Société des Irlandais unis avait-elle évolué ?",les Irlandais unis étaient déjà devenus un groupe prônant des idées radicales
Qu'a réussi à obtenir la Société des Irlandais unis ?,"un groupe de protestants libéraux, anglicans et presbytériens | émancipation des catholiques"
A quel objectif répondait la création de la Société des Irlandais unis ?,"obtenir une réforme du parlement irlandais, l'émancipation des catholiques et la révocation des lois pénales irlandaises"
Qui s'est exprimé à cet événement ?,Lord Gosford
Quel historien est spécialiste de cet événement ?,Jim Smyth
Sur quoi les historiens s'accordent-ils toutefois ?,les origines populaires du mouvement
Pourquoi il ne pourrait pas y avoir de lien avec l'orangisme ?,les loges orangistes n'existaient pas encore lorsque Lord Gosford s'est exprimé
Quel est la controverse autour de l'Ordre d'Orange ?,"Le lien entre cet événement, les bandes armées qui pourchassent les catholiques et la naissance de l'orangisme"
Quelles étaient les motivations des exactions commises à l'encontre des populations orangistes en 1798 ?,les sentiments anti-orangistes
Comment connait-t-on les intentions des responsables des massacres de 1798 ?,les procès qui s'ensuivirent
Quelle fut l'évolution du mouvement orangiste à l'issue des massacres de 1798 ?,l'Ordre d'Orange connut une croissance rapide
Avec qui se bat le gouvernement en 1796 ?,des Orangistes
Contre qui se bat le gouvernement en 1798 ?,Les Irlandais unis
Qui dirige le comté d’Armagh ?,Lord Gosford
Combien de catholiques quittent Armagh ?,7 000
Quelle est la religion des exilés ?,catholiques
Qui voit ses biens confisqués ?,un grand nombre de catholiques
Quand s’exilent les a catholiques d’Armagh ?,Durant les mois qui suivirent la bataille du Diamond
Quel est le but de l'ordre d'orange ?,favoriser les objectifs du protestantisme
De quel confession est l'ordre d'Orange ?,protestante
Où a été crée l'ordre d'orange ?,à Loughgall | Loughgall (en) (Irlande)
Quels sont les diverses sujets dont s'empare l'ordre d'orange ?,"religieuse, politique, culturelle et sociale"
Quand s'est déroulée la bataille de la Boyne ?,le 12 juillet 1690
Quelles divisions refont surface en Espagne ?,divisions entre libéraux et ultra-conservateurs
Qu'est-ce qui est né de la lutte contre Napoléon ?,front commun
En quelle année Ferdinand VII fait-il son retour ?,1813
Qui a fait son retour en 1813 ?,Ferdinand VII
Que font les colonies d'Amérique lors de la Guerre d'indépendance espagnole ?,s’émanciper de la métropole et proclamer leur indépendance
Sur quelle île Napoléon avoue regretter la Guerre d'indépendance espagnole ?,Sainte-Hélène
A combien s'élève les pertes pour l'armée française ?,300 000 soldats français
Que rata l'Espagne suite à cette victoire ?,la modernisation agricole et industrielle au XIXe siècle
Quelle institution joua un rôle important dans la résistance espagnole ?,l’Église catholique
Quel est le ressenti des Espagnols face à cette Guerre d'indépendance ?,un fier souvenir
Que consacre la Constitution espagnole ?,droits de l'homme et notamment un suffrage universel masculin
De quoi la première Constitution espagnole s'inspire-t-elle ?,Constitution française de 1791
Au jour de quel Saint la première Constitution a-t- elle été nommée ?,Saint-Joseph
Comment se nomme la première Constitution espagnole ?,La Pepa
En quelle année les Cortes adoptent la première Constitution espagnole ?,1812
De quoi  Napoléon avait-il peur  ?,des débarquements britanniques visant à détruire les bases navales françaises en plein essor
Que cherchait à faire l'Empereur ?,immobiliser des forces britanniques
Qui régnait sur la France lors de la Guerre d'indépendance espagnole ?,Napoléon
Comment expliquer le  succès de Wellington ?,par le manque de moyens accordés par Napoléon et la décentralisation du commandement des différentes armées françaises
Contre qui Masséna a-t-il perdu ?,Torres Vedras
Quelle bataille a lieu en 1811 ?,bataille de Fuentes de Oñoro
Qui souhaite vaincre le Portugal ?,Napoléon
Quels événements avantagent Wellington ?,la bataille de Fuentes de Oñoro (mai 1811) et le siège de Ciudad Rodrigo
Par qui est commandé la coalition anglo-portugaise ?,Wellington
A qui est confié l'invasion napoléonienne au Portugal ?,maréchal Masséna
Que voulait voir disparaître les afrancesados ?,la féodalité et l’absolutisme
Quel événement la guerre d'Espagne a-t-elle engendré ?,guerre civile
Quelles atrocités ont été commises ?,"saccages, viols, profanations, agressions"
Quel événement provoqua l'enlisement du conflit ?,La guérilla
Comment appelle-t-on les partisans  des Français ?,afrancesados
Quels étaient les progrès sociaux et sociétaux mis en place en Espagne par Bonaparte?,abolition des droits féodaux et de l’Inquisition
Quelles zone d'Espagne échappaient au pouvoir central?,Le contrôle des campagnes restait difficile
Quels étaient les principaux instigateurs de l'insurrection populaire?,Les prêtres espagnols
Quel était l'action principal des ecclésiastiques pour appuyer le soulèvement de la population?,appelaient leurs fidèles à la croisade contre les Français
Quelle était la tactique employée par les insurgés dans cette guerre asymétrique?,les Espagnols pratiquaient la guérilla
Que parvient à réaliser malgré ses déboires le frère de Napoléon Ier?,à entrer à Madrid
Le frère de Napoléon Ier parvint-il à tenir durablement la capitale espagnole?,il ne put y rester longtemps
Comment évolua la situation sur le théâtre des opérations lusitanien?,le général Junot dut évacuer le Portugal
Quelle la cause de la rupture sur le théâtre des opérations lusitanien?,l’offensive des Britanniques
Qui dirigeait les forces armées de Londres sur le théâtre des opérations lusitanien?,duc de Wellington
Quels étaient les autres points chauds de l'insurrection ?,"Carthagène, León, Santiago, Séville, Lérida et Saragosse"
Quel fut l'événement catalyseur du soulèvement général ?,guet-apens de Bayonne | Le guet-apens de Bayonne
Quel fut le tournant psychologique de guerre ?,le général Pierre Dupont de l'Étang et ses 20 000 hommes furent vaincus près de la petite ville andalouse de Bailén
A quel moment eut lieu le tournant psychologique de la guerre ?,18 juillet 1808
Où eut lieu le point de rupture de l'insurrection ?,Bayonne
Quels étaient les acteurs de la lutte pour la couronne hispanique ?,Ferdinand et Charles
Quand éclata l'insurrection à Madrid ?,2 mai 1808 | Le 2 mai 1808
Quel général français écrasa le soulèvement madrilène ?,Murat
Quelle œuvre retrace les représailles françaises sur les insurgés madrilènes ?,"Tres de mayo | Le célèbre tableau de Goya, Tres de mayo"
Qui récupéra le trône à la suite du retrait des deux prétendants ?,Joseph
Quel est l'événement catalyseur du soulèvement ibérique ?,l’abdication du roi d’Espagne au profit du frère de l’empereur
Quelle est la cible des premiers insurgés madrilènes ?,l’armée française
Quels protagoniste extérieur vint appuyer les insurgés espagnols ?,Wellington | armée britannique | l’armée britannique
Quelle fut le point de départ du soulèvement espagnol contre l'occupation Napoléonienne ?,Madrid se souleva contre l’armée française stationnée dans la capitale espagnole | Madrid
Qui dirigea les forces combattantes opposés à Napoléon pour porter la guerre dans l'hexagone ?,Wellington
Comment est calculée la profitabilité ?,la valeur énergétique nette (c’est-à-dire la valeur brute moins l’énergie dépensée) divisée par le temps de manipulation
Quelle est la stratégie animale pour se nourir ?,"les animaux maximisent leur profitabilité | maximisent leur profitabilité, en choisissant les plus grosses proies accessibles"
Quel type de proies les animaux chassent ?,les plus grosses
Comment est calculée la valeur énergétique nette ?,la valeur brute moins l’énergie dépensée
Quel est le dénominateur de la valeur énergétique nette ?,temps de manipulation
quels sont les facteurs pertinents,"le temps (de la recherche), l’énergie (dépensée à la recherche) et la densité | temps (de la recherche), l’énergie (dépensée à la recherche) et la densité"
qu'est-ce que le temps de manipulation ?,temps mis pour obtenir une proie
comment appeler la densité des proies dans l'environnement,disponibilité
en quels Termes peut-être décrite la recherche de nourriture ?,accessibilité et de disponibilité de la ressource. L’accessibilité
dans quoi figure le temps de manipulation ?,accessibilité
A quelle vitesse court le guépard quand il a faim ?,à une vitesse de 100 km/h
Quel est l'abitrage énergétique pour la quête de nourriture ?,compromis entre énergie dépensée et énergie acquise
Quels sont les risques qui interfèrent avec la quête de nourriture ?,"prédation, rivaux, absence de surveillance sur la progéniture, etc"
Comment finance-t-on l'énergie des espèces animales ?,par une quête de nourriture
"Quelle espèce dépense peu d'énergie pour manger, mais y passe beaucoup de temps ?",l’araignée
Quel unique type d'actions Matswa a-t-il entrepris de son vivant ?,action que civile
"Quel croyance se répand, en l'absence de tombe ?",la croyance qu'il était toujours en vie
Quel statut sacré est donné à Matswa après sa mort ?,martyr
Qui dirige le culte de Matswa ?,Simon Kimbangu
Qui a longtemps été suspecté du meurtre de Matswa ?,l'administration coloniale
Qui participe à diriger l'amicale au congo belge ?,Prosper Mahoukou
Quelle ville est une étape de Matswa pour atteindre le Congo Belge ?,Bangui
Qui a remplacé le gouverneur Renard ?,François-Joseph Reste de Roca
Dans quel pays se situe la ville de Jos ?,Nigeria
En quelle date s'évade-t-il ?,17 septembre 1935
Que trouve-t-on en face de l'abbaye Saint Victor ?,le célèbre Four des navettes
Quand a été batie la boulangerie Four des navettes ?,1781
Qu'est ce que le Four des navettes?,la plus ancienne boulangerie de Marseille
Qu'est ce qu'Endoume ?,une localité | une localité du 7e arrondissement de Marseille
A quel département la ville de Marseille est-elle rattachée ?,Bouches-du-Rhône
Quel pape a proposé une analyse de la parabole du fils prodigue ?,Benoît XVI
"Quels sont les deux fondements qui permettent de caractériser, selon Benoît XVI, une relation mûre entre parent et enfant ?",la reconnaissance et sur l'amour authentique
Comment désigne-t-on un acte ou une vertu qui se fait sincèrement et avec engagement ?,authentique
Quel est le contraire de l'adjectif négatif ?,positif
Qui a utilisé la parabole du fils prodigue dans des enseignements sur le judaïsme et l'Eglise ?,"plusieurs théologiens, dont saint Pierre Chrysologue"
Pendant quelle période la paraboile du Fils prodigue a-t-elle été utilisée par les théologiens ?,entre le Ve et VIIIe siècles
Qui a été la personne qui a porté la parole de l'amour de Dieu ?,Jésus-Christ rédempteur
Quel événement a provoqué la présence d'un représentant humain de Dieu sur terre ?,la rupture causée par le Péché originel
Quel religion est symbolisée par le fils aîné dans la parabole du fils prodigue ?,judaïsme | le judaïsme
Quel animal a offert le père à son fils aîné ?,un chevreau
A quoi a servi le chevreau offert par le père à son fils aîné ?,pour festoyer avec mes amis
Comment le fils prodigue a-t-il dilapidé sa fourtune d'après le fils aîné ?,avec des courtisanes
Quel est l'état d'espirt du fils aîné envers la situation du retour du fils prodigue ?,ne comprend pas l'attitude de son Père
Quel animal a été sacrifié en l'honneur du retour du fils prodigue ?,le veau gras
Quel événement a conduit le fils prodigue à revenir auprès de son père ?,se retrouvant sous le joug d'un autre maître | Après avoir dilapidé sa fortune
Quel sentiment le père du fils prodigue a-t-il ressenti à l'arrivée de son fils ?,compassion
Qui a été en charge d'organiser la fête de retour du fils prodigue ?,serviteurs
Quel animal a été tué et mangé lors de la fête en l'honneur du retour du fils prodigue ?,le veau gras
Quelles sont les deux qualités du père du fils prodigue ?,riche et doux
Comment appelle-t-on les histoires qui contiennent un enseignement ou une morale ?,paraboles
Quel évangéliste de la Bible raconte la parabole du Fils prodigue ?,Luc
Après quelles paraboles la parabole du GFils prodigue apparaît-elle ?,les paraboles de la Brebis égarée et celle de la Drachme perdue | la Brebis égarée et celle de la Drachme perdue
Comment appelle-t-on un ensemble de trois oeuvres ?,trilogie
Comment qualifie-t-on une personne qui pardonne facilement et profondément ?,miséricordieux
Pickering avait-il de grosses attentes quant au travail de Leavitt ?,je doute que Pickering ait pensé qu'elle ait pu faire une importante découverte
Où peuvent se lire la publication des résultats de Leavitt ?,elle publia ses résultats dans les Annales de l'Observatoire astronomique de l'Université Harvard
En quelle année a-t-elle rendu ses résultats publics ?,1908
Leavitt a-t-elle poursuivi ses recherches après sa première publication ?,"Après des études plus approfondies, elle confirma en 1912"
A quelle variable Leavitt a-t-elle relié la luminosité des étoiles ?,période de variation des étoiles
Qui était l'employeur de Leavitt à l'Observatoire de l'Université de Harvard ?,"Edward Charles Pickering | Leavitt commence à travailler en tant qu'une des femmes 'calculatrices', embauchée par Edward Charles Pickering"
Quel est le salaire final de Leavitt ?,"0,30 dollar | Plus tard, elle sera payée 0,30 dollar de l'heure pour son travail"
Leavitt a-t-elle obtenu un diplôme de Harvard ?,diplôme qu'elle ne validera jamais
Est-ce que les femmes avaient le droit d'utiliser des téléscopes dans les années 1900 ?,"Au début des années 1900, les femmes n'étaient pas autorisées à se servir de télescopes"
Quel était le travail de Leavitt à l'Observatoire de l'Université de Harvard ?,mesurer et cataloguer la luminosité des étoiles en fonction de leur apparition dans la collection de plaques photographiques de l'observatoire
Qu'est ce qui a accéléré la création de la BT49?,l'utilisation d'éléments de la BT48 | utilisation d'éléments de la BT48
En combien de temps est elle terminée ?,six semaines
Qui possède Brabham?,Bernie Ecclestone
Qu'est ce qui est à l'origine de la création de la voiture ?,championnat du monde de Formule 1
Quand a été inventée la voiture?,en 1979 | 1979
Qui finit second de la compétition ?,l'Argentin Carlos Reutemann
Quelle est la voiture de Carlos Reutemann ?,Williams FW07
Combien de course Piquet finit-il lors de sa saison ?,dix des quinze courses
Pourquoi la suspension virtuellement rigode est-elle obligatoire en cours automobile ?,pour maintenir un niveau de conduite performant | maintenir un niveau de conduite performant
Où s'est joué le titre ?,Las Vegas | à Las Vegas sur le gigantesque parking du Cæsars Palace
Où commence-t-il sur scène ?,Théâtre de l'Œuvre
En quelle année commence-y-il sa carrière ?,1953 | en 1953
Combien de temps sera-t-il sur scène ?,la décennie
Dans quelle type de pièce joue-t-il ?,pièces de Shakespeare
Quel rôle jouera-t-il auprès de Nelly Borgeaud ?,"Péricles, prince de Tyr"
"Sur quelle ligne l'association ""Non au CDG Express"" souhaite-t-elle qu'il y ait des trains plus souvent ?",sur la ligne K du Transilien
"Que propose l'association ""Non au CDG Express"" pour relier l'aéroport de Roissy à la gare de Mitry-Claye ?",de mettre en place une navette
Combien coûterait la solution mise en avant par le comité des usagers du RER B ?,quelques millions
"Que propose l'association ""Non au CDG Express"" ?",augmenter la fréquence des trains sur la ligne K du Transilien | d'augmenter la fréquence des trains sur la ligne K du Transilien
"Que suggère l'association ""Non au CDG Express"" sur la ligne K ?",d'augmenter la fréquence des trains
Comment s'appelle le préfet de région ?,Michel Cadot
Quelle est la fonction d'Élisabeth Borne ?,ministre des Transports
À quelles conditions peut on envisager que la mise en service du CDG Express soit repoussée après 2024 selon Michel Cadot ?,s'il apparaissait que la construction de ce train rapide devait entraîner des retards dans la rénovation du RER B | retards dans la rénovation du RER B
Quelle hypothèse est confirmée par Michel Cadot en mars 2019 ?,l'hypothèse d'une mise en service au tout début de 2024 ou même à la toute fin de 2023 est crédible
"Selon la ministre des Transports, à quel horizon la mise en service de la liaison CDG Express est elle prévue ?",à l'horizon 2024
Quand le Parlement a-t-il voté le projet CDG Express ?,en décembre 2016
Quel réseau ferroviaire les navettes pourraient utiliser dans la proposition de Pierre Serne ?,le réseau de lignes à grande vitesse
Dans quelles circonstances la ligne de Roissy a-t-elle été indisponible en décembre 2016 ?,à la suite d'une importante rupture de caténaire
Quelle ligne a été inutilisable en décembre 2016 ?,la ligne de Roissy
Quelles seraient les économies d'investissement en  infrastructures dans la proposition de Pierre Serne ?,"1,7 milliard | 1,7 milliard d'euros"
Quel est la finalité du projet de prolongement du tunnel piéton de Chateau-Landon ?,rendre aisée la correspondance entre CDG Express et le RER E
Qu'est-ce qui va pouvoir faciliter la correspondance entre le CDG Express et le RER E ?,le prolongement du tunnel piéton Chateau-Landon
Quel transport en commun dessert déjà le quartier de la gare du Nord et de la gare de l'Est ?,RER B | le RER B
De quels quartiers le CDG Express ne fournira pas de desserte directe ?,des quartiers d'affaires de la Défense et de Paris-Saint-Lazare
Par quel moyen de transport les quartiers de La Défense et de Saint-Lazare ?,le RER E
Quelles seraient les implications de l'utilisation des viaducs ferroviaires par le CDG Express ?,nuisances sonores | les nuisances sonores
Pourquoi le CDG Express emprunterait des viaducs ferroviaires ?,nuisances sonores | pour relier la gare de l'Est au réseau de la gare du Nord
Sur quelle plage horaire le CDG Express emprunterait il les viaducs ferroviaires ?,de 5 h à 1 h du matin
Quel projet d'aménagement devrait aller avec la création du CDG Express ?,aménagement du grand pôle unique gare de l'Est – gare RER Magenta – gare du Nord | l'aménagement du grand pôle unique gare de l'Est – gare RER Magenta – gare du Nord
Pour qui l'utilisation des viaducs ferroviaires par le CDG Express créerait des nuisances sonores ?,pour les habitants
Que faut-il que les personnes listent ?,Elles doivent aussi dresser la liste de leur participation aux manifestations
"Quel moyen matérialise l'engagement des ""revenants"" ?",Un formulaire est adressé à chaque personne
Que doivent promettre ceux qui reviennent ?,"s'engager à ne pas protester «en dehors des limites de la loi», à ne pas publier de contenu insultant les autorités et à coopérer avec les agents de sécurité"
Y a-t-il des interpellations ?,Certaines personnes sont arrêtées
Qui essaie de retourner en Syrie ?,certains réfugiés tentent de regagner la Syrie
Qui est le haut commissaire des Nations unies pour les réfugiés ?,António Guterres
Quelle est la plus grande crise de notre ère ?,La crise des réfugiés syriens
Combien de personnes environ ont fui la Syrie durant la crise syrienne ?,quatre millions
Dans quels pays les syriens ont-il fui durant la crise syrienne ?,"Jordanie, Liban, Turquie, Irak ou Kurdistan irakien"
Pourquoi les syriens ont ils fui durant la crise syrienne ?,Pour échapper aux violences
Ou est situé Lyon ?,Située entre le Massif central à l'ouest et le massif alpin à l'est
Qu'était Lyon à l origine ?,capitale des Gaules
Titre de l'archevêque de Lyon,primat des Gaules
Origine de la prospérité de Lyon,"par la soierie, puis par l'apparition des industries notamment textiles, chimiques, et plus récemment, par l'industrie de l'image | la soierie"
Secteur de prospérité recente,industrie de l'image
quand a eu lieu l'élection du du directeur général de l'UNESCO ?,en 1999
Quand a eu lieu le retour des Etats-Unis ?,2003 | en 2003
Qaund l'UNESCO s'est-elle engagée dans un plan de réduction des dépenses ?,2003 | en 2003
au profit de quoi la réduction nette du budget a-t-elle eu lieu ?,"au profit de programmes désormais financés, et donc aussi pilotés ou gérés, par des États membres ou des entreprises commerciales | de programmes désormais financés"
quand le courrier de l'UNESCO est-il de nouveau publié ?,à partir de 2017
Quelles ont été les conséquences du rapport MacBride ?,UNESCO a introduit les programmes La Société de l'information pour tous et Vers les sociétés du savoir
Quelles ont été les priorités de l'UNESCO en matière de libre circulation de l'information à l'après-guerre ?,la reconstitution et les besoins des moyens de communication de masse partout dans le monde
Qui sont les bénéficiaires des programmes de l'UNESCO à partir des années 1950 ?,journalistes
Quel a été le rôle de Sean MacBride ?,Président de la Commission
"Qu'ont accueilli les villes de Genève et Tunis, respectivement en 2003 et 2005 ?",Sommets mondiaux sur la société de l'information
Quand a débuté le projet de l'éducation de la base dans la vallée de Marbial ?,1947
A quel public s'adresse le programme pour une éducation de base de l'UNESCO ?,"tous, enfants, jeunes et adultes"
Quel autre pays a suivi le projet de l'éducation de base ?,Haïti | Afghanistan
Quel est l'objectif de l'UNESCO avec le programme pour l'éducation de base ?,"instituer un enseignement primaire obligatoire, gratuit et universel"
Quel événement a lancé le mouvement global pour une éducation de base pour tous ?,la Conférence mondiale sur l'éducation pour tous
Qui a permis le retour de l'Afrique du Sud au sein de l'Unesco ?,Nelson Mandela
Quelle est la profession de Claude Lévi-Strauss ?,anthropologues
Pourquoi l'Afrique du Sud décide de s'éloigner de l'Unesco ?,Estimant quelques publications de l'UNESCO comme une ingérence dans les problèmes raciaux du pays
Quelles est l'idéologie qui postule une hiéarchie des races et mène à des actes discriminants ?,racisme | le racisme
Quelle est la forme institutionnelle de l'Afrique du Sud ?,République
Quel est le mouvement qui se considère contre l'Eglise et les institutions religieuses ?,UNESCO | anticléricalisme
Quelles ont été les conséquences institutionnelles de la révision en 1954 de l'Acte constitutif de l'UNESCO ?,changement de gouvernance
Quels épisodes historiques sont particulièrement marquants dans la deuxième partie du 20ème siècle ?,"la guerre froide, de la décolonisation et de la dissolution de l’URSS"
Comment caractérise-t-on le fait d'être sceptique vis à vis de la religion ?,agnosticisme
Quelles sont les conséquences institutionnelles de la révision de l'Acte constitutif de l'UNESCO ?,la collaboration des États dans les domaines de compétence de l’UNESCO
Quelle est la dette cumulée des États-Unis en 2017 ?,500 millions de dollars
En quelle année la Palestine est-elle devenue un membre de l'UNESCO ?,En 2011 | 2011
Quelle est la part du budget de l'UNESCO assurée par les États-Unis ?,22 %
Quel est le nouveau budget de l'UNESCO ?,507 millions de dollars américains
Quel problème pose l'admission de la Palestine à l'UNESCO ?,préjudiciable « aux pourparlers potentiels de paix »
Comment sont choisies les personnalités de la Commission internationale de coopération intellectuelle ?,élues pour leurs compétences personnelles
Quel est le statut de la Commission internationale de coopération intellectuelle ?,un organe consultatif
Quel événement provoque le fin du travail des prédécesseurs de l'UNESCO ?,la Seconde Guerre mondiale
Dans quelle ville siège la commission de l'UNESCO en charge de la coopération intellectuelle sur le plan international ?,Genève
Dans quel domaine le Bureau international d'éducation agit-il ?,le domaine éducatif
Quelle capitale européenne n'a pas intégré ses banlieues proches dans son évolution au fil des ans ?,Paris
Quelle est la densité de population dans la banlieue parisienne proche ?,9 000 hab./km2
Quelle est la surface de la capitale française et sa banlieue ?,761 km2
Combien de personnes vivent en périphérie de la capitale russe ?,300 000
Quelle aire Moscou recouvre-t-elle ?,1 100 km2
Comment s'appelle le périphérique de Moscou ?,MKAD
D'où part le canal de Moscou ?,Moskova
Combien mesure le canal de Moscou ?,128 kilomètres
Quelle est la vitesse moyenne du courant de la Moskova ?,120 m3/s
Qu'est la Moskova par rapport à l'Oka ?,un affluent
Quelle institution russe est construite à l'ouest du quartier Taganski ?,Le Kremlin
Quel fleuve est surplombé par le Kremlin ?,Moskova
Comment s'appelle le lieu où est érigé le Kremlin ?,Khodynka ou Borovaïa
Dans quel sens s'écoule la rivière qui traverse Moscou ?,du nord-est au sud-ouest
Quel est le cours d'eau qui traverse Moscou ?,Moskova
Quelles infrastructures sont sous-développées dans la capitale russe ?,ses structures routières
Qu'est-ce qui fait le prestige de Moscou ?,nombreuses institutions universitaires et culturelles
Qu'est-ce qui a été le problème de Moscou dans son développement récent ?,Les écarts socio-économiques
Quelle est la principale cause de l'augmentation de la pauvreté à Moscou ?,l'augmentation du coût de la vie
A quelle hauteur la capitale russe contribue-t-elle à la richesse du pays ?,25 %
Quel est le climat à Moscou ?,froid et continental
Comment appelle-t-on les gens qui vivent à Moscou ?,Moscovites
Dans quel pays se trouve Moscou ?,Russie
Quelle est la ville la plus peuplée en Europe ?,Moscou
Combien la capitale russe compte-t-elle d'habitants en 2017 ?,douze millions
Quelle est l'ambition du palais de Tsaritsyno ?,devenir un grand musée d'art international
Qui a créé le musée des beaux-arts Pouchkine ?,le père de la poétesse Marina Tsvetaeva
Quelles oeuvres issues de l'art occidental sont présentes au musée Pouchkine ?,Claude Monet ou Paul Cézanne que celles de Pablo Picasso | peintures
A quel musée anglais compare-t-on le musée Pouchkine ?,British Museum de Londres
Pourquoi dit-on que le musée Pouchkine ressemble au British Museum ?,ses salles sont un croisement des civilisations du monde
Quelle politique architecturale est mise en place aujourd'hui à Moscou ?,rénovation de l'architecture pré-communiste
Pour quelle raison a été décidée la réhabilation de l'architecture pré-communiste ?,afin de redonner tout son éclat au centre historique de la ville
Par quels types d'architecture se caractérisent les quartiers de l'ancien Arbat et la rue Tverskaïa ?,impériale ou bourgeoise
Quels bâtiments ont été relativement bien préservés par l'époque communiste ?,églises orthodoxes
Quels bâtiments rappellent l'époque impériale à Moscou ?,Le quartier de l'ancien Arbat et les ruelles de la rue Tverskaïa | palais
Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ?,crainte
Combien de propositions a reçu Staline pour l'architecture de l'hôtel Moskva ?,deux projets différents | deux
Quels bâtiments hauts ont été construits sous l'époque communiste ?,gratte-ciel staliniens
Quelle forme a la façade de l'hôtel Moskva ?,asymétrique
A quel endroit la façade de l'hôtel Moskva a particulièrement été modifiée ?,sur la place des Théâtres
Quel est la forme géométrique de la tour Choukhov ?,hyperboloïdes
Quel mouvement artistique et architectural s'applique au nouvelles construction de Choukhov ?,constructiviste
Quels types de construction d'habitation est apparue à l'époque soviétique ?,ensembles résidentiels collectifs
Quelle forme prennent les commerces construits par Choukhov ?,galeries
Quel est le métier de Vladimir Choukhov ?,architecte
Quels édifices religieux sont très présents dans la ville ?,églises orthodoxes | nombreuses églises orthodoxes
A quelle période la ville connaît des changements architecturaux majeurs ?,époque soviétique
Quels bâtiments détruits sous l'époque soviétiques ont été refaits au début du 20ème siècle ?,deux cathédrales | la cathédrale de Kazan et la cathédrale du Christ-Sauveur
Quel chef soviétique décide de lancer une politique de changement de la ville ?,Joseph Staline
Combien de voies contenaient les avenues construites par Staline ?,jusqu'à dix voies | dix
Ou trouve t'on la population la plus aisée de Moscou ?,dans les quartiers occidentaux du centre-ville | les quartiers occidentaux du centre-ville | quartiers occidentaux du centre-ville comme le vieux quartier de l'Arbat
Que fait t'on dans les rocades circulaires ?,dédié au commerce et aux communications | commerce et aux communications
Quels sont les quartiers les plus récents de Moscou ?,Kountsévo et Sérébriany
Quel rue est est considéré comme présitigieuse et animées ?,la rue Tverskaïa (rue de Tver
Comment sont relié Moscou et ses régions voisines ?,routes radiales (prospekt
Qui dirige l'Union Soviétique en 1936 ?,Joseph Staline
Quel bâtiment de la capitale soviétique est évoqué ?,La Loubianka
Pourquoi l'Union Soviétique est qualifiée de dictature sanglante ?,l'élimination physique au minimum de plus de 600 000 personnes et à la déportation au Goulag de plus d'un million de personnes
Quel adjectif peut-on donner au procès de Moscou ?,truqués
Quelle est la sensibilité politique de Joseph Staline ?,communiste
Qui est l’architecte ?,Daniel Perry
Quel est le style du bâtiment ?,classique | néoclassique
A quoi fait penser cette construction ?,temple de la Grèce Antique | un temple de la Grèce Antique
Qui est à l’origine du futur musée ?,Daniel Perry | Sterling Clark
Où est installé l’architecte ?,Long Island | à Long Island
Sur quel site français sterling Clark avait-il un projet  ?,le Petit Palais
Comment se prénomme le frère de sterling Clark ?,Stephen
Où sterling Clark a-t-il acquis des bâtiments ?,au cœur de New York entre la 71eme rue et la 5e Avenue
Que craint sterling Clark dans le projet de new-york ?,elle souffrirait aussi de la comparaison avec d’autres collections de musées plus importants | la comparaison avec d’autres collections de musées plus importants
Par quelle collection sterling Clark est-il fasciné ?,Frick Collection | la Frick Collection
À quelle guerre Robert sterling Clark participe-t-il ?,Première Guerre mondiale | la Première Guerre mondiale
Quelle œuvre de Toulouse lautrec figure dans la collection de sterling clark ?,la lithographie Jane Avril
Quelle entreprise fabrique les machines à coudre singer ?,Singer Manufacturing Company | la Singer Manufacturing Company
Quand Robert sterling Clark arrive-t-il à Paris ?,1910 | en 1910
Quelle était le métier de l’épouse de Robert sterling Clark ?,actrice | actrice de la Comédie-Française
Qui dirige le Clark art Institute ?,Olivier Meslay
Depuis quand Olivier meslay est-il directeur du Clark art Institute ?,depuis août 2016 | août 2016
Quelle période concerne les collections ?,XIVe siècle jusqu’au début XXe siècle | du XIVe siècle jusqu’au début XXe siècle
Qu’est-ce que le Clark art Institute ?,un musée d'art
Où est le Clark art Institute ?,Williamstown | à Williamstown
Où le roi fait-il l'apologie de Du Bosc ?,dans la chambre de la reine
Quelle rumeur se propage ?,la prochaine suppression des Chambres de l’édit de Paris et de Rouen | suppression des Chambres de l’édit de Paris et de Rouen | le bruit de la prochaine suppression des Chambres de l’édit de Paris et de Rouen
Quelle opinion le roi a-t-il de Du Bosc ?,l’homme le plus éloquent de son royaume | homme le plus éloquent de son royaume
Que souhaitent obtenir les représentants des églises ?,prochaine suppression des Chambres de l’édit de Paris et de Rouen se répandit | une audience du roi
Qui écoute le général Du Bosc ?,Louis XIV
Qui soutient Du Bosc ?,"Montausier, Turenne, Ruvigny, le premier écuyer Béringhen"
Qu'obtient Du Bosc de Le Tellier ?,ne plus recevoir d’accusation contre lui
Que produit Du Bosc pendant son exil ?,Une correspondance assez active et quelques travaux littéraires
Quand Du Bosc sera-t-il autorisé à rentrer en Normandie ?,15 décembre 1664
De quel représentant étatique haut placé Du Bosc obtint-il le soutien ?,Le Tellier
Qui souhaite exiler Du Bosc de Caen ?,Jésuites
